TIME(ns),FREQ(Hz)
0,          0
375000,         16
625000,         80
875000,         20
1125000,         24
1375000,         24
1625000,         76
1875000,         28
2125000,         24
2375000,         28
2625000,         80
2875000,         32
3125000,         32
3375000,         52
3625000,         36
3875000,         36
4125000,         40
4375000,         64
4625000,         44
4875000,         40
5125000,         60
5375000,         48
5625000,         48
5875000,         64
6125000,         48
6375000,         52
6625000,         80
6875000,         60
7125000,         60
7375000,         64
7625000,         60
7875000,         96
8125000,         68
8375000,        108
8625000,         72
8875000,        128
9125000,        112
9375000,         80
9625000,        144
9875000,        136
10125000,        124
10375000,        108
10625000,        100
10875000,        148
11125000,        140
11375000,        140
11625000,        132
11875000,        124
12125000,        124
12375000,        176
12625000,        184
12875000,        176
13125000,        168
13375000,        168
13625000,        164
13875000,        164
14125000,        160
14375000,        164
14625000,        160
14875000,        160
15125000,        160
15375000,        160
15625000,        160
15875000,        160
16125000,        160
16375000,        160
16625000,        160
16875000,        160
17125000,        160
17375000,        160
17625000,        160
17875000,        160
18125000,        160
18375000,        160
18625000,        160
18875000,        160
19125000,        160
19375000,        160
19625000,        160
19875000,        160
20125000,        160
20375000,        160
20625000,        160
20875000,        160
21125000,        160
21375000,        160
21625000,        160
21875000,        160
22125000,        160
22375000,        160
22625000,        160
22875000,        160
23125000,        160
23375000,        160
23625000,        160
23875000,        160
24125000,        160
24375000,        160
24625000,        160
24875000,        160
25125000,        160
25375000,        160
25625000,        160
25875000,        160
26125000,        160
26375000,        160
26625000,        160
26875000,        160
27125000,        160
27375000,        160
27625000,        160
27875000,        160
28125000,        160
28375000,        160
28625000,        160
28875000,        160
29125000,        160
29375000,        160
29625000,        160
29875000,        160
30125000,        160
30375000,        160
30625000,        160
30875000,        160
31125000,        160
31375000,        160
31625000,        160
31875000,        160
32125000,        160
32375000,        160
32625000,        160
32875000,        160
33125000,        160
33375000,        160
33625000,        160
33875000,        160
34125000,        160
34375000,        160
34625000,        160
34875000,        160
35125000,        160
35375000,        160
35625000,        160
35875000,        160
36125000,        160
36375000,        160
36625000,        160
36875000,        160
37125000,        160
37375000,        160
37625000,        160
37875000,        160
38125000,        160
38375000,        160
38625000,        160
38875000,        160
39125000,        160
39375000,        160
39625000,        160
39875000,        160
40125000,        160
40375000,        160
40625000,        160
40875000,        160
41125000,        160
41375000,        160
41625000,        160
41875000,        160
42125000,        160
42375000,        160
42625000,        160
42875000,        160
43125000,        160
43375000,        160
43625000,        160
43875000,        160
44125000,        160
44375000,        160
44625000,        160
44875000,        160
45125000,        160
45375000,        160
45625000,        160
45875000,        160
46125000,        160
46375000,        160
46625000,        160
46875000,        160
47125000,        160
47375000,        160
47625000,        160
47875000,        160
48125000,        160
48375000,        160
48625000,        160
48875000,        160
49125000,        160
49375000,        160
49625000,        160
49875000,        160
50125000,        160
50375000,        160
50625000,        160
50875000,        160
51125000,        160
51375000,        160
51625000,        160
51875000,        160
52125000,        160
52375000,        160
52625000,        160
52875000,        160
53125000,        160
53375000,        160
53625000,        160
53875000,        160
54125000,        160
54375000,        160
54625000,        160
54875000,        160
55125000,        160
55375000,        160
55625000,        160
55875000,        160
56125000,        160
56375000,        160
56625000,        160
56875000,        160
57125000,        160
57375000,        160
57625000,        160
57875000,        160
58125000,        160
58375000,        160
58625000,        160
58875000,        160
59125000,        160
59375000,        160
59625000,        160
59875000,        160
60125000,        160
60375000,        160
60625000,        160
60875000,        160
61125000,        160
61375000,        160
61625000,        160
61875000,        160
62125000,        160
62375000,        160
62625000,        160
62875000,        160
63125000,        160
63375000,        160
63625000,        160
63875000,        160
64125000,        160
64375000,        160
64625000,        160
64875000,        160
65125000,        160
65375000,        160
65625000,        160
65875000,        160
66125000,        160
66375000,        160
66625000,        160
66875000,        160
67125000,        160
67375000,        160
67625000,        160
67875000,        160
68125000,        160
68375000,        160
